Date;Location;MinTemp;MaxTemp;Rainfall;Evaporation;Sunshine;WindGustDir;WindGustSpeed;WindDir9am;WindSpeed9am;Humidity9am;Pressure9am;Pressure3pm
01.12.2008;Albury;13.4;22.9;0.6;;;W;44;W;20;71;1007.7;1007.1
02.12.2008;Albury;7.4;25.1;0;;;WNW;44;NNW;4;44;1010.6;1007.8
03.12.2008;Albury;12.9;25.7;0;;;WSW;46;W;19;38;1007.6;1008.7
04.12.2008;Albury;9.2;28;0;;;NE;24;SE;11;45;1017.6;1012.8
05.12.2008;Albury;17.5;32.3;1;;;W;41;ENE;7;82;1010.8;1006
06.12.2008;Albury;14.6;29.7;0.2;;;WNW;56;W;19;55;1009.2;1005.4
07.12.2008;Albury;14.3;25;0;;;W;50;SW;20;49;1009.6;1008.2
08.12.2008;Albury;7.7;26.7;0;;;W;35;SSE;6;48;1013.4;1010.1
09.12.2008;Albury;9.7;31.9;0;;;NNW;80;SE;7;42;1008.9;1003.6
10.12.2008;Albury;13.1;30.1;1.4;;;W;28;S;15;58;1007;1005.7
11.12.2008;Albury;13.4;30.4;0;;;N;30;SSE;17;48;1011.8;1008.7
12.12.2008;Albury;15.9;21.7;2.2;;;NNE;31;NE;15;89;1010.5;1004.2
13.12.2008;Albury;15.9;18.6;15.6;;;W;61;NNW;28;76;994.3;993
14.12.2008;Albury;12.6;21;3.6;;;SW;44;W;24;65;1001.2;1001.8
16.12.2008;Albury;9.8;27.7;;;;WNW;50;;;50;1013.4;1010.3
17.12.2008;Albury;14.1;20.9;0;;;ENE;22;SSW;11;69;1012.2;1010.4
18.12.2008;Albury;13.5;22.9;16.8;;;W;63;N;6;80;1005.8;1002.2
19.12.2008;Albury;11.2;22.5;10.6;;;SSE;43;WSW;24;47;1009.4;1009.7
20.12.2008;Albury;9.8;25.6;0;;;SSE;26;SE;17;45;1019.2;1017.1
21.12.2008;Albury;11.5;29.3;0;;;S;24;SE;9;56;1019.3;1014.8
22.12.2008;Albury;17.1;33;0;;;NE;43;NE;17;38;1013.6;1008.1
23.12.2008;Albury;20.5;31.8;0;;;WNW;41;W;19;54;1007.8;1005.7
24.12.2008;Albury;15.3;30.9;0;;;N;33;ESE;6;55;1011;1008.2
25.12.2008;Albury;12.6;32.4;0;;;W;43;E;4;49;1012.9;1010.1
26.12.2008;Albury;16.2;33.9;0;;;WSW;35;SE;9;45;1010.9;1007.6
27.12.2008;Albury;16.9;33;0;;;WSW;57;;0;41;1006.8;1003.6
28.12.2008;Albury;20.1;32.7;0;;;WNW;48;N;13;56;1005.2;1001.7
29.12.2008;Albury;19.7;27.2;0;;;WNW;46;NW;19;49;1004.8;1004.2
30.12.2008;Albury;12.5;24.2;1.2;;;WNW;50;WSW;11;78;1005.6;1003.4
31.12.2008;Albury;12;24.4;0.8;;;W;39;WNW;17;48;1006.1;1005.1
01.01.2009;Albury;11.3;26.5;0;;;WNW;56;W;19;46;1004.5;1003.2
02.01.2009;Albury;9.6;23.9;0;;;W;41;WSW;19;44;1014.4;1013.1
03.01.2009;Albury;10.5;28.8;0;;;SSE;26;SSE;11;43;1018.7;1014.8
04.01.2009;Albury;12.3;34.6;0;;;WNW;37;SSE;6;41;1015.1;1010.3
05.01.2009;Albury;12.9;35.8;0;;;WNW;41;ENE;6;41;1012.6;1009.2
06.01.2009;Albury;13.7;37.9;0;;;W;52;SE;4;33;1010.9;1006.7
07.01.2009;Albury;16.1;38.9;0;;;W;57;E;6;34;1007;1002.7
08.01.2009;Albury;14;28.3;0;;;W;48;W;17;43;1011.9;1010.9
09.01.2009;Albury;12.5;28.4;0;;;NE;37;SSE;20;38;1017.8;1013.7
10.01.2009;Albury;17;30.8;0;;;NE;37;NNE;15;36;1013.4;1008.1
11.01.2009;Albury;16.9;32;0;;;S;31;SSE;13;52;1009.9;1006.8
12.01.2009;Albury;17.3;34.7;0;;;SW;35;SE;7;48;1014.1;1012.1
13.01.2009;Albury;17.2;37.7;0;;;NNW;35;SE;7;51;1015.7;1010.9
14.01.2009;Albury;17.4;43;0;;;NW;39;SSE;7;40;1011.6;1006.9
15.01.2009;Albury;19.8;32.7;0;;;WNW;44;W;20;34;1008.4;1009.2
16.01.2009;Albury;14.9;26.7;0;;;SW;56;WSW;20;46;1014.1;1012.7
17.01.2009;Albury;10.5;28.4;0;;;SE;33;SE;19;35;1019.7;1017.4
18.01.2009;Albury;11.3;32.2;0;;;WNW;28;ENE;17;34;1019.7;1016.2
19.01.2009;Albury;13.9;36.6;0;;;WNW;39;SSE;2;39;1015.8;1010.6
20.01.2009;Albury;18.6;39.9;0;;;NNW;61;SSE;9;36;1010.1;1004.8
21.01.2009;Albury;19.3;38.1;0.8;;;NNW;61;NE;15;48;1009.6;1005.9
22.01.2009;Albury;24.4;34;0.6;;;NW;98;N;26;60;1005.3;997.8
23.01.2009;Albury;18.8;35.2;6.4;;;WNW;52;S;6;43;1007.9;1003.9
24.01.2009;Albury;20.8;30.6;0;;;W;54;W;30;41;1005.4;1007.6
25.01.2009;Albury;14;34.3;0;;;WSW;24;ESE;7;44;1016.5;1014.6
26.01.2009;Albury;15.7;38.4;0;;;S;33;SSE;7;48;1017.7;1014.6
27.01.2009;Albury;18.5;38.2;0;;;NNE;31;SE;9;48;1017.8;1014.1
28.01.2009;Albury;20.4;40.7;0;;;N;37;E;7;45;1014.9;1011.6
29.01.2009;Albury;21.8;41.5;0;;;SW;24;ESE;6;38;1015.7;1011.8
30.01.2009;Albury;22.3;42.9;0;;;NNE;28;ESE;9;37;1014.6;1010.2
31.01.2009;Albury;22;42.7;0;;;ESE;48;ESE;4;33;1014.2;1010.5
01.02.2009;Albury;28;43.1;0;;;SW;83;SE;15;27;1012.5;1008.7
02.02.2009;Albury;24.4;38.3;0.2;;;SW;56;NE;19;32;1011.7;1007.4
03.02.2009;Albury;21.5;37.7;0;;;;;N;13;51;1009.2;1005.7
04.02.2009;Albury;21.7;36.9;0;;;;;;11;53;1008.8;1004.7
05.02.2009;Albury;21.5;41.2;0;;;WSW;35;SSE;7;48;1005.9;1002.6
06.02.2009;Albury;23.5;42.2;0;;;W;37;SE;6;39;1008;1005
07.02.2009;Albury;22.3;44.8;0;;;NNW;59;SE;9;36;1008.2;1003.8
08.02.2009;Albury;28.3;40.2;0;;;NW;52;N;9;20;1007;1006.5
09.02.2009;Albury;18.4;31.2;0.4;;;SE;37;SW;7;66;1009.3;1007.8
10.02.2009;Albury;14.9;27.3;0;;;SSE;41;SSE;20;50;1011.6;1008.5
11.02.2009;Albury;13.5;26.7;0;;;SSE;46;SSE;19;45;1012.8;1011.1
12.02.2009;Albury;16.1;21.6;0;;;SE;46;SSE;11;58;1017;1017.3
13.02.2009;Albury;14.6;29;3;;;SSE;41;SE;26;41;1023.3;1019.7
14.02.2009;Albury;12.4;29.2;0;;;NE;39;S;7;37;1022.5;1016.4
15.02.2009;Albury;13.3;31.3;0;;;NNE;41;SSE;7;50;1016.2;1012.8
